id,name,venue_type,department,address,phone,email,web,foursquare_id,foursquare_url,lat,lng,point_wkt
73,Kinko Cordón,Tienda,Montevideo,Av. Rivera 2138/2142,+598 2407 9681,info@kinko.com.uy,http://www.kinko.com.uy,53724ba1498eda3ec90ab9a7,https://foursquare.com/v/kinko-cord%C3%B3n/53724ba1498eda3ec90ab9a7,-34.9021079934,-56.1698970733,POINT (-34.9021079933595 -56.1698970733462)
55,Frog,Tienda,Montevideo,,,,,55626e68498e139d93f1a419,https://foursquare.com/v/frog-maxishop/55626e68498e139d93f1a419,-34.9069960579,-56.2074465306,POINT (-34.9069960578799 -56.2074465306174)
54,Jacinto,Restaurant,Montevideo,Sarandí 349,+598 2915 2731,,http://www.jacinto.com.uy,50783b84e4b0801687f52185,https://foursquare.com/v/jacinto/50783b84e4b0801687f52185,-34.9082939676,-56.2077955948,POINT (-34.9082939676245 -56.2077955947726)
74,Kinko Parque Rodó,Tienda,Montevideo,Juan Manuel Blanes 901,+598 2412 3804,info@kinko.com.uy,http://kinko.com.uy,53b71a3d498eef48c839f123,https://foursquare.com/v/kinko-parque-rod%C3%B3/53b71a3d498eef48c839f123,-34.9125577915,-56.1715400219,POINT (-34.9125577914615 -56.1715400218964)
78,Kinko Pocitos (Tomás Diago),Tienda,Montevideo,Tomás Diago 798,+598 2711 4749,info@kinko.com.uy,http://kinko.com.uy,53b1dcb8498e13cc8b1b3e28,https://foursquare.com/v/kinko-pocitos/53b1dcb8498e13cc8b1b3e28,-34.9163395889,-56.1524198966,POINT (-34.9163395889294 -56.1524198965873)
57,Chopería Mastra (Mercado Agrícola),Bar,Montevideo,José Terra 2220,,,http://www.mastra.com.uy,51d715d8498ea1854141e343,https://foursquare.com/v/choper%C3%ADa-mastra/51d715d8498ea1854141e343,-34.8867750886,-56.1834787781,POINT (-34.8867750885875 -56.1834787781105)
58,Chopería Mastra (21 de Setiembre),Bar,Montevideo,21 De Setiembre,+598 95 927 454,,,533f4164498e92faaf52eef4,https://foursquare.com/v/la-choper%C3%ADa/533f4164498e92faaf52eef4,-34.9158415123,-56.1593373241,POINT (-34.9158415122514 -56.1593373240865)
59,Gallagher's Irish Pub,Bar,Montevideo,Pagola 3233,+598 2706 7891,,http://gallaghersmvd.com,50a83f8ae4b0f191c1746acd,https://foursquare.com/v/gallaghers-irish-pub/50a83f8ae4b0f191c1746acd,-34.9083564964,-56.1460589363,POINT (-34.9083564964322 -56.1460589362778)
80,Kinko Pocitos (Av. Brasil),Tienda,Montevideo,Av. Brasil 2501,,info@kinko.com.uy,,557d997b498ebb8ad2bbf561,https://foursquare.com/v/kinko-pocitos-av-brasil/557d997b498ebb8ad2bbf561,-34.9072238487,-56.1598279414,POINT (-34.9072238487173 -56.1598279414151)
88,Iberpark (MAM),Tienda,Montevideo,en Mercado Agrícola de Montevideo,+598 2208 5514,,http://www.iberpark.com,51223192e4b05d422fb721f3,https://foursquare.com/v/iberpark/51223192e4b05d422fb721f3,-34.8870155099,-56.1835333052,POINT (-34.8870155098816 -56.183533305222)
